0,1,268,2806
0,2,286,3001
0,3,221,2294
0,4,240,2392
0,5,301,2948
0,6,163,1106
0,7,142,1278
0,8,141,1190
0,9,306,3132
0,10,198,1261
0,11,331,3373
0,12,708,8865
0,13,812,10005
0,14,205,2062
0,15,2068,37617
0,16,2080,37890
0,17,1766,30846
0,18,1651,29408
0,19,1589,28634
0,20,1466,26264
0,21,2145,35296
0,22,1591,26377
0,23,1575,26459
0,24,1543,26115
0,25,1628,29054
0,26,1602,28835
0,27,1591,26377
0,28,1587,26335
0,29,1546,25915
0,30,1877,33136
0,31,1564,28236
0,32,1485,27006
0,33,1542,27906
0,34,1503,27296
0,35,1534,27777
0,36,1560,28177
0,37,1402,21252
0,38,1405,21278
0,39,1281,20017
0,40,1319,20446
0,41,1254,19594
0,42,1285,20065
0,43,1247,19640
0,44,2028,33929
0,45,1874,31612
0,46,1704,29434
0,47,1654,28748
0,48,1857,30164
0,49,1855,33830
0,50,1849,33817
0,51,1856,30146
0,52,2008,35129
0,53,1998,33597
0,54,1982,33474
0,55,1995,33620
0,56,2125,35929
0,57,2129,35977
1,2,133,1360
1,3,382,3881
1,4,425,5199
1,5,486,5756
1,6,284,2616
1,7,192,1930
1,8,326,3997
1,9,491,5939
1,10,214,2074
1,11,492,4961
1,12,889,11672
1,13,992,12813
1,14,223,1642
1,15,2114,41955
1,16,2126,42228
1,17,1813,35184
1,18,1698,33746
1,19,1635,32973
1,20,1512,30602
1,21,2191,39635
1,22,1637,30715
1,23,1621,30797
1,24,1589,30453
1,25,1674,33392
1,26,1648,33174
1,27,1637,30715
1,28,1633,30673
1,29,1592,30253
1,30,1923,37474
1,31,1610,32575
1,32,1531,31344
1,33,1589,32244
1,34,1550,31634
1,35,1580,32116
1,36,1606,32515
1,37,1448,25590
1,38,1451,25617
1,39,1327,24356
1,40,1365,24784
1,41,1300,23932
1,42,1331,24403
1,43,1293,23979
1,44,2074,38267
1,45,1920,35950
1,46,1750,33772
1,47,1700,33086
1,48,1904,34503
1,49,1901,38168
1,50,1895,38156
1,51,1902,34484
1,52,2054,39468
1,53,2044,37936
1,54,2028,37812
1,55,2041,37959
1,56,2171,40268
1,57,2175,40316
2,3,295,3049
2,4,441,5394
2,5,503,5951
2,6,300,2812
2,7,208,2126
2,8,343,4193
2,9,507,6134
2,10,231,2270
2,11,456,4735
2,12,905,11867
2,13,1009,13008
2,14,240,1837
2,15,2175,42729
2,16,2187,43002
2,17,1874,35958
2,18,1759,34520
2,19,1696,33747
2,20,1573,31376
2,21,2252,40409
